Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	3	0.300666	0.307783	0.0750858	0.000972788
2	1000	5.54	0.343087	0.663342	0.0862968	0.00172343
4	1000	9.31	0.40003	1.20615	0.113826	0.00294719
8	1000	12.56	0.440053	2.1311	0.146462	0.00475461
16	1000	16.46	0.469114	3.50809	0.191623	0.00792778
32	1000	17.36	0.489725	4.47209	0.216906	0.0135392
64	1000	17.91	0.466618	5.37343	0.221071	0.023694
128	1000	17.75	0.441857	6.15645	0.22837	0.0398633
256	1000	19.46	0.413894	8.00115	0.223825	0.0692421
512	1000	19.4	0.397794	8.79899	0.228104	0.122345
1024	1000	19.07	0.359493	9.42564	0.225901	0.20636
