Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	1000	3	0.300666	0.307783	0.0750858	0.000972788
2	1000	5.54	0.343087	0.663342	0.0862968	0.00172343
4	1000	9.31	0.40003	1.20615	0.113826	0.00294719
8	1000	12.56	0.440053	2.1311	0.146462	0.00475461
16	1000	16.46	0.469114	3.50809	0.191623	0.00792778
32	1000	17.36	0.489725	4.47209	0.216906	0.0135392
64	1000	17.91	0.466618	5.37343	0.221071	0.023694
128	1000	17.75	0.441857	6.15645	0.22837	0.0398633
256	1000	19.46	0.413894	8.00115	0.223825	0.0692421
512	1000	19.4	0.397794	8.79899	0.228104	0.122345
1024	1000	19.07	0.359493	9.42564	0.225901	0.20636
2048	1000	19.86	0.313657	10.6891	0.200828	0.35944
4096	1000	20.38	0.262404	11.7695	0.161696	0.623143
8192	1000	20.09	0.26171	12.2905	0.162448	1.13133
16384	1000	21.83	0.27848	13.2288	0.175931	2.40797
32768	863	20.9965	0.297108	13.0837	0.193852	4.17568
65536	446	23.139	0.398608	14.6375	0.270659	8.0757
131072	236	24.1949	0.478402	15.5228	0.34624	15.2556
262144	126	25.7143	0.639158	16.6523	0.46304	28.6085
524288	71	25.2113	1.17602	15.8917	0.773461	51.0206
1048576	36	22.2222	1.47568	14.0891	0.998861	101.766
