Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	10	5	2.12132	0.179626	0.203266	0.0009782
2	10	11	2.21359	0.395676	0.255542	0.0015426
4	10	6	4.28952	-0.67948	0.776611	0.0032925
8	10	13	4.01248	1.0244	1.46793	0.0064921
16	10	9	4.98999	1.25162	1.86668	0.0062812
32	10	18	6.13188	3.20337	1.97167	0.0142164
64	10	13	4.70106	1.56289	1.56863	0.0235448
128	10	22	2.75681	9.12819	2.02077	0.0339299
256	10	27	3.17805	10.6709	1.89593	0.0768061
512	10	18	3.09839	8.01167	1.87245	0.12282
1024	10	21	4.11096	10.0125	2.55301	0.21285
2048	10	21	3.59166	12.0892	2.20016	0.351203
4096	10	23	2.02485	13.4192	1.46999	0.644455
8192	10	24	3.52136	13.7548	2.14486	1.38185
16384	10	24	2.09762	14.9801	1.15424	2.23766
32768	10	22	1.89737	14.292	1.268	4.02838
65536	10	20	3.16228	12.9634	2.27977	6.87565
131072	10	26	2.52982	15.8392	1.715	16.9596
262144	10	24	2.09762	15.2379	1.91766	26.6385
524288	10	24	2.09762	15.7914	1.54583	43.8405
1048576	10	22	2.36643	12.382	1.65853	156.232
