Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	10	4	2.52982	1.26655	0.762493	0.0014861
2	10	-2	1.89737	-0.643175	0.753544	0.0025645
4	10	0	2.44949	0.234446	0.678043	0.0048408
8	10	13	4.01248	2.50099	1.50163	0.0090427
16	10	12	4.19524	2.80346	1.75441	0.0175307
32	10	18	4.42719	5.46881	2.29277	0.0323963
64	10	24	7.50999	6.26652	2.18082	0.0650903
128	10	24	8.27043	5.46873	3.03578	0.110838
256	10	25	7.24569	5.32829	2.19957	0.20135
512	10	15	3.53553	1.72455	1.79214	0.349915
1024	10	19	6.23699	7.48005	3.10771	0.577002
2048	10	10	7.87401	5.56198	2.55242	1.64493
4096	10	22	6.13188	7.51762	2.99709	2.58
8192	10	36	2.52982	13.2166	1.43446	3.8912
16384	10	38	3.68782	15.8663	1.17273	9.16909
32768	10	34	5.51362	14.1298	2.93543	21.4397
