Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	10	5	2.12132	0.179626	0.203266	0.0012832
2	10	11	2.21359	0.395676	0.255542	0.0019719
4	10	6	4.28952	-0.67948	0.776611	0.0041027
8	10	13	4.01248	1.0244	1.46793	0.0064412
16	10	9	4.98999	1.25162	1.86668	0.0064908
32	10	14	7.23878	1.3598	2.01882	0.0166689
64	10	28	2.36643	10.656	2.16506	0.0187513
128	10	19	3.86005	5.76449	1.66772	0.0573792
256	10	14	3.2249	4.03071	1.89299	0.0915496
512	10	15	3.80789	4.49085	1.84896	0.166689
1024	10	17	4.25441	6.99392	2.66948	0.26228
2048	10	24	4.04969	13.3518	2.22155	0.404385
4096	10	21	2.98329	11.8341	2.36566	0.780088
8192	10	23	3.17805	13.8956	1.72229	1.30754
16384	10	20	2.44949	11.8521	1.54849	2.25738
32768	10	20	2	11.7867	1.29119	4.48348
65536	10	20	2.44949	11.9228	1.54917	9.44913
131072	10	23	2.46982	14.3291	1.70875	16.1388
262144	10	27	2.02485	16.8087	1.09276	29.4116
524288	10	27	2.46982	16.1004	1.54957	66.4996
1048576	10	29	2.62679	17.6105	1.49345	112.95
