Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	10	13	2.84605	1.79296	2.0693	0.0005642
2	10	8	3.40588	1.47324	1.90035	0.0004443
4	10	11	2.98329	4.13156	1.86201	0.0006384
8	10	14	2.09762	7.55136	2.35866	0.0007444
16	10	15	3.80789	8.32938	2.82957	0.0013525
32	10	19	1.70294	12.722	1.48044	0.0022224
64	10	16	3.79473	10.1604	3.24334	0.0036815
128	10	7	2.84605	3.53225	2.31769	0.0075382
256	10	12	4.19524	8.866	3.75395	0.0094812
512	10	11	3.86005	8.66035	3.38455	0.0161629
1024	10	11	2.62679	8.75503	2.53782	0.0253556
2048	10	15	1.58114	12.7822	1.46862	0.0480528
4096	10	16	1.54919	13.6007	1.40864	0.0918094
8192	10	15	1.58114	12.6914	1.43769	0.142894
16384	10	13	1.44914	10.9158	1.30939	0.197469
32768	10	16	1.54919	13.6007	1.40864	0.338479
65536	10	13	1.44914	10.8729	1.31766	0.511086
131072	10	15	1.58114	12.6527	1.42587	1.03424
262144	10	15	1.58114	12.6141	1.41386	2.01771
524288	10	18	2.36643	14.6606	1.82725	5.00108
1048576	10	19	2.21359	15.5699	1.70237	10.7003
