Simulations	Runs	Undiscounted return	Undiscounted error	Discounted return	Discounted error	Time
1	5	4	2.19089	-0.0134333	0.190523	0.0012694
2	5	10	4	1.34223	0.855296	0.0017256
4	5	6	3.57771	1.06206	0.992126	0.002957
8	5	16	3.57771	2.81242	0.920557	0.0036412
16	5	18	4.38178	4.64036	1.30548	0.0070104
32	5	26	7.79744	5.6316	2.23063	0.0153312
64	5	18	9.1214	5.81262	4.33557	0.0261174
128	5	14	2.19089	4.25809	1.28867	0.0416172
256	5	10	8.94427	4.20516	4.21785	0.0996596
512	5	12	5.93296	1.46246	2.77693	0.150765
1024	5	18	1.78885	9.46188	1.43192	0.202885
2048	5	24	2.19089	12.2847	1.8186	0.429707
4096	5	22	3.34664	13.189	1.84923	0.583645
8192	5	14	3.57771	8.89492	2.53137	1.04202
16384	5	24	3.57771	15.2056	2.11938	1.97358
32768	5	20	4	11.4192	2.90418	5.28674
65536	5	24	3.57771	14.9002	2.59333	8.66004
131072	5	28	1.78885	18.3547	1.11817	12.632
262144	5	32	3.34664	18.1444	1.79669	45.4173
524288	5	12	1.78885	7.24964	1.51837	51.7717
1048576	5	26	4.5607	15.9466	2.56964	96.1333
